datasize,ex_time,n_trees,min_samples_split,max_depth,n_feats
100,0.8515551090240479,1,2,0,10
200,1.9852838516235352,1,2,0,10
300,4.3129799365997314,1,2,0,10
400,5.464242935180664,1,2,0,10
500,6.787355184555054,1,2,0,10
600,11.237253904342651,1,2,0,10
700,14.88772201538086,1,2,0,10
800,16.733463048934937,1,2,0,10
900,21.493485689163208,1,2,0,10
1000,26.27462601661682,1,2,0,10
1100,56.83374094963074,1,2,0,10
1200,58.01550793647766,1,2,0,10
1300,45.83198404312134,1,2,0,10
1400,134.0195438861847,1,2,0,10
1500,114.31949281692505,1,2,0,10
1600,92.10281085968018,1,2,0,10
1700,112.4249861240387,1,2,0,10
1800,114.41353416442871,1,2,0,10
1900,107.29094982147217,1,2,0,10
2000,130.70619988441467,1,2,0,10
2100,119.90643405914307,1,2,0,10
2200,168.7654252052307,1,2,0,10
2300,186.01867294311523,1,2,0,10
2400,203.60288500785828,1,2,0,10
2500,566.8057518005371,1,2,0,10
2600,235.25945806503296,1,2,0,10
2700,352.8605809211731,1,2,0,10
2800,542.492348909378,1,2,0,10
2900,429.5385830402374,1,2,0,10
3000,493.3988690376282,1,2,0,10
3100,352.08601903915405,1,2,0,10
3200,225.73576402664185,1,2,0,10
3300,284.96592903137207,1,2,0,10
3400,521.4561338424683,1,2,0,10
3500,647.0654330253601,1,2,0,10
200,1.8529369831085205,1,2,0,10
300,6.6203813552856445,1,2,0,10
400,5.838517665863037,1,2,0,10
500,7.6464619636535645,1,2,0,10
600,12.741450071334839,1,2,0,10
700,14.71492886543274,1,2,0,10
800,16.645511150360107,1,2,0,10
900,22.005687952041626,1,2,0,10
1000,25.50001287460327,1,2,0,10
1100,56.12386989593506,1,2,0,10
1200,57.99941301345825,1,2,0,10
1300,45.37838816642761,1,2,0,10
1400,131.61255383491516,1,2,0,10
1500,81.40548205375671,1,2,0,10
1600,86.21563291549683,1,2,0,10
1700,109.7816801071167,1,2,0,10
1800,109.3622658252716,1,2,0,10
1900,99.89935612678528,1,2,0,10
2000,115.53815126419067,1,2,0,10
100,0.7912261486053467,1,2,0,10
200,1.9560208320617676,1,2,0,10
300,4.809685945510864,1,2,0,10
400,5.317244052886963,1,2,0,10
500,7.233673810958862,1,2,0,10
600,11.454219818115234,1,2,0,10
700,14.713653087615967,1,2,0,10
800,17.432235956192017,1,2,0,10
900,22.307893753051758,1,2,0,10
1000,27.040530920028687,1,2,0,10
1100,56.04267191886902,1,2,0,10
1200,62.59984993934631,1,2,0,10
1300,46.23353600502014,1,2,0,10
1400,129.1769778728485,1,2,0,10
1500,76.05491900444031,1,2,0,10
1600,85.4832079410553,1,2,0,10
1700,111.4081130027771,1,2,0,10
1800,113.53466606140137,1,2,0,10
1900,103.03610110282898,1,2,0,10
2000,123.92848801612854,1,2,0,10
2100,118.76555395126343,1,2,0,10
2200,160.21864795684814,1,2,0,10
2300,166.62114715576172,1,2,0,10
2400,134.5761320590973,1,2,0,10
2500,370.5816628932953,1,2,0,10
2600,215.81789207458496,1,2,0,10
2700,335.92808294296265,1,2,0,10
2800,524.613929271698,1,2,0,10
2900,407.64498114585876,1,2,0,10
3000,495.9209449291229,1,2,0,10
100,0.5497491359710693,1,2,0,10
200,1.7566721439361572,1,2,0,10
100,0.020435094833374023,1,2,0,10
200,0.01139688491821289,1,2,0,10
300,0.011254072189331055,1,2,0,10
400,0.01756906509399414,1,2,0,10
500,0.014769792556762695,1,2,0,10
600,0.016326904296875,1,2,0,10
700,0.015416860580444336,1,2,0,10
800,0.0157468318939209,1,2,0,10
900,0.01626896858215332,1,2,0,10
1000,0.018357038497924805,1,2,0,10
1100,0.019701004028320312,1,2,0,10
1200,0.021646976470947266,1,2,0,10
1300,0.0402829647064209,1,2,0,10
1400,0.037464141845703125,1,2,0,10
1500,0.03582191467285156,1,2,0,10
1600,0.04413175582885742,1,2,0,10
1700,0.033496856689453125,1,2,0,10
1800,0.04024624824523926,1,2,0,10
1900,0.0619511604309082,1,2,0,10
2000,0.06279182434082031,1,2,0,10
2100,0.0498349666595459,1,2,0,10
2200,0.05770587921142578,1,2,0,10
2300,0.08120298385620117,1,2,0,10
2400,0.07883191108703613,1,2,0,10
2500,0.07117414474487305,1,2,0,10
2600,0.060614824295043945,1,2,0,10
2700,0.08053302764892578,1,2,0,10
2800,0.09063172340393066,1,2,0,10
2900,0.11885619163513184,1,2,0,10
3000,0.08877897262573242,1,2,0,10
